pin,salt,mode
347288,africa,SALT_END
258874,australia,PIN_ONLY
134981,europe,KDF1_FRONT_END
70117,australia,KDF1_FRONT_END
178905,europe,KDF4_FRONT_END
461340,america,SALT_END
846276,africa,KDF3_FRONT_END
230676,asia,KDF5_FRONT_END
622329,africa,SALT_END
841572,africa,KDF1_FRONT_END
760024,europe,KDF2_FRONT_END
152560,europe,KDF3_FRONT_END
399199,africa,SALT_FRONT
26516,africa,KDF1_FRONT_END
156365,europe,KDF3_FRONT_END
956091,asia,KDF1_FRONT_END
107036,australia,SALT_END
260142,africa,KDF3_FRONT_END
468774,europe,KDF3_FRONT_END
574198,america,SALT_END
392402,asia,SALT_FRONT
538979,africa,SALT_FRONT
327090,america,PIN_ONLY
598812,america,KDF5_FRONT_END
513577,australia,KDF4_FRONT_END
151735,australia,KDF3_FRONT_END
586447,europe,SALT_FRONT
422023,africa,SALT_END
575498,africa,KDF5_FRONT_END
14945,america,KDF1_FRONT_END
463579,africa,SALT_FRONT
824800,europe,KDF1_FRONT_END
383265,australia,KDF3_FRONT_END
188481,africa,SALT_END
206109,america,SALT_END
562926,europe,KDF5_FRONT_END
547424,asia,KDF2_FRONT_END
238053,africa,KDF1_FRONT_END
203342,europe,SALT_END
228303,asia,KDF4_FRONT_END
163664,africa,KDF5_FRONT_END
250487,europe,SALT_END
149972,africa,PIN_ONLY
987238,europe,KDF4_FRONT_END
805987,africa,SALT_FRONT
510379,africa,KDF2_FRONT_END
931029,australia,KDF4_FRONT_END
725017,europe,PIN_ONLY
497948,europe,SALT_FRONT
921341,america,KDF2_FRONT_END
232828,africa,SALT_END
66721,europe,KDF3_FRONT_END
116438,europe,KDF3_FRONT_END
822598,africa,SALT_FRONT
267801,europe,KDF1_FRONT_END
193397,america,SALT_FRONT
333370,africa,SALT_END
565405,australia,KDF4_FRONT_END
861815,america,SALT_END
398739,europe,PIN_ONLY
380074,america,KDF2_FRONT_END
685341,europe,SALT_END
544290,america,PIN_ONLY
636933,europe,KDF5_FRONT_END
993096,america,PIN_ONLY
6027,america,SALT_FRONT
377716,europe,KDF2_FRONT_END
113197,asia,KDF1_FRONT_END
841927,africa,SALT_END
42027,america,KDF1_FRONT_END
974249,america,KDF3_FRONT_END
282675,africa,SALT_END
595680,asia,SALT_END
970703,europe,KDF2_FRONT_END
282251,europe,PIN_ONLY
38062,america,SALT_FRONT
434450,africa,SALT_FRONT
14193,africa,KDF5_FRONT_END
90517,asia,SALT_END
454977,africa,KDF2_FRONT_END
424278,asia,KDF3_FRONT_END
610528,africa,SALT_FRONT
726044,europe,KDF1_FRONT_END
725018,africa,KDF3_FRONT_END
922921,asia,SALT_END
802803,africa,KDF1_FRONT_END
920644,europe,KDF5_FRONT_END
927092,europe,KDF4_FRONT_END
829207,america,KDF2_FRONT_END
950807,africa,PIN_ONLY
50325,africa,KDF2_FRONT_END
657004,australia,KDF1_FRONT_END
294685,africa,SALT_FRONT
936152,america,SALT_END
181514,australia,SALT_FRONT
93690,asia,PIN_ONLY
955846,asia,PIN_ONLY
768826,europe,KDF1_FRONT_END
462234,europe,KDF2_FRONT_END
515040,america,KDF2_FRONT_END
